Pathway	C007	C008	C009	C012	C015	C016	C017	C020	C023	C025	C025_n	C025_r	C026	C027	C028	C029	C030	C030_r	C031	C033	C035	C036	C037	C039	C040	C042	C042_r	C043	C043_r	C045	C046	C047	C049	C050	C052	C053	C055	C057	C060	C061	C061_r	C063	C063_r	C065	C068	C070	C071	C072	C073	C075	C077	C079	C081	C082	C083	C084	C084_r	C085	C085_n	C086	C089	C089_n	C090	C093	C094	C095	C096	C097	C099	C100	C101	C102	C103	C104	C105	C108	C109	C110	C112	C113	C114	C115	C116	C117	C118	C119	C124	C126	C127	C128	C129	C133	C134	C135	C142	C143	C144	C145	C146	C147	C148	C149	C150	C151	C152	C153	C154	C155	C156	C157	C158	C159	C160	C162	C163	C164	C165	C166	C167	C168	C169	C170	C172	C173	C174	C175	C176	C178	C179	C180	C181	C182	C183	C184	C185	C186	C187	C188	C190	C191	C196	C197	C198	C199	C200	C201	C202	C203	C204	C205	C206	C207	C208	C209	C210	C211	C212	C213	C214	C215	C216	C217	C218	C219	C220	C221	C222	C223	C224	C225	C226	C227	C228	C229	C230	C232	C233	C234	C235	C237	C238	C240	C241	C242	C243	C244	C245	C246	C247	C248	C249	C250	C251	C252	C253	C254	C256	C257	C259	C260	C261	C262	C263	C264	C265	C266	C267	C268	C269	C270
UNMAPPED	0.578627	0.526488	0.467926	0.472283	0.514713	0.470568	0.508995	0.542863	0.335119	0.544581	0.507353	0.538205	0.484848	0.415064	0.492921	0.521465	0.532277	0.541818	0.547326	0.559334	0.498649	0.572809	0.46297	0.517359	0.513477	0.365031	0.366109	0.571913	0.579752	0.513657	0.468282	0.551407	0.483079	0.513137	0.565638	0.530282	0.503076	0.546602	0.540704	0.494659	0.501977	0.49748	0.493683	0.519707	0.429818	0.555534	0.592593	0.435469	0.493847	0.47462	0.503522	0.515565	0.497027	0.528249	0.39634	0.525594	0.526088	0.505893	0.491595	0.508262	0.509847	0.510397	0.46818	0.489742	0.492392	0.516205	0.540003	0.564516	0.50098	0.526172	0.517481	0.561942	0.556259	0.545134	0.529579	0.562202	0.456721	0.477997	0.535803	0.591518	0.532355	0.465517	0.417133	0.495863	0.468327	0.590986	0.57756	0.47911	0.519453	0.490657	0.446635	0.497841	0.50345	0.514553	0.596452	0.511767	0.460786	0.472695	0.507943	0.502374	0.523307	0.457642	0.480138	0.573627	0.583198	0.576146	0.501421	0.522997	0.492377	0.491296	0.598254	0.464061	0.548785	0.462474	0.485155	0.498894	0.52806	0.482557	0.5134	0.435404	0.44996	0.44147	0.137936	0.539904	0.493662	0.48873	0.476495	0.572925	0.506862	0.49559	0.518714	0.511762	0.578452	0.539907	0.469216	0.505068	0.601741	0.464121	0.50872	0.48562	0.571338	0.492594	0.524166	0.568576	0.384596	0.529851	0.461797	0.480554	0.466445	0.531654	0.477502	0.54685	0.511028	0.473592	0.481984	0.532589	0.491079	0.571003	0.555104	0.497186	0.511185	0.446349	0.506117	0.46173	0.457587	0.468296	0.518132	0.515448	0.439785	0.533549	0.496848	0.473897	0.484371	0.537782	0.541186	0.595604	0.544658	0.53462	0.524742	0.548828	0.451903	0.578468	0.455669	0.541964	0.486242	0.479341	0.577161	0.465638	0.466974	0.534402	0.522481	0.596084	0.501377	0.516021	0.511863	0.406284	0.46832	0.50515	0.454265	0.51008	0.443708	0.465934	0.444338	0.501587	0.444491	0.472707	0.498211	0.512315	0.579904	0.457852
UNINTEGRATED	0.394511	0.443001	0.494716	0.498306	0.45327	0.500004	0.462481	0.429628	0.612529	0.426632	0.466174	0.432788	0.485096	0.544856	0.478142	0.447078	0.440968	0.432163	0.422156	0.413206	0.470044	0.400698	0.500349	0.454744	0.455026	0.593488	0.591291	0.400269	0.394052	0.459896	0.497861	0.423384	0.489158	0.458626	0.409015	0.44093	0.470242	0.426644	0.432413	0.475696	0.469246	0.474605	0.478107	0.448261	0.543122	0.416	0.383044	0.535816	0.473918	0.496503	0.469842	0.451463	0.472467	0.443631	0.559394	0.444475	0.439888	0.46643	0.482656	0.464644	0.461814	0.462387	0.501595	0.48136	0.479403	0.454126	0.432916	0.411288	0.469576	0.447894	0.45532	0.406742	0.419102	0.430347	0.442207	0.414867	0.512889	0.487869	0.436834	0.383717	0.441789	0.507708	0.543153	0.472217	0.500766	0.385501	0.397418	0.490901	0.453027	0.47897	0.523588	0.472607	0.46782	0.454182	0.379188	0.459782	0.509807	0.499267	0.462119	0.467192	0.445611	0.506147	0.488955	0.400194	0.390754	0.400939	0.469616	0.449478	0.480932	0.477231	0.379109	0.505378	0.426188	0.500485	0.477747	0.471246	0.442832	0.486967	0.460548	0.529659	0.517592	0.524444	0.793979	0.43353	0.476434	0.483015	0.495052	0.399809	0.464784	0.475934	0.454022	0.460711	0.395171	0.433458	0.500328	0.468386	0.374921	0.500925	0.462963	0.481022	0.404582	0.475355	0.446655	0.405807	0.580453	0.443245	0.505641	0.487896	0.503421	0.440331	0.490418	0.42328	0.460114	0.499118	0.489766	0.440096	0.480094	0.405039	0.415741	0.472975	0.46205	0.525125	0.464124	0.506414	0.508778	0.502126	0.454486	0.455466	0.521512	0.438967	0.469411	0.495576	0.484253	0.436036	0.429815	0.38199	0.429637	0.436574	0.446899	0.425809	0.517229	0.396475	0.514174	0.429195	0.479121	0.49296	0.396831	0.499862	0.501828	0.440917	0.44847	0.379935	0.468928	0.455871	0.455095	0.559154	0.497401	0.467481	0.515585	0.461826	0.512157	0.499159	0.527667	0.472547	0.519315	0.495032	0.472021	0.462734	0.394923	0.510325
UNINTEGRATED|g__Acetatifactor.s__Acetatifactor_muris	0	0	0	0.00817323	0.00573974	0	0.00139998	0.00707166	0	0.00905252	0.0115054	0.00940899	0.00390145	0.00058262	0.00147655	0	0.00474964	0.00530921	0.00345754	0.00876344	0.0032216	0	0.00593693	0	0	0	0	0.00891918	0.00800786	0.0096198	0	0	0.00349845	0	0	0.00936062	0.00776149	0	0	0	0	0	0	0	0	0.00326072	0.0120081	0	0	0	0	0	0	0.00135204	0	0	0	0.00159997	0.00345952	0.00340617	0.00222548	0.0123438	0.00824675	0	0.00604251	0	0	0.02168	0.000438075	0.00524234	0.00190767	0.00745097	0.0130967	0.00237937	0.00829955	0	0	0	0.00514546	0	0	0.00509929	0	0	0	0.0402662	0.00162547	0.0321032	0	0.00603588	0.00231054	0.0121809	0	0.00871282	0	0	0	0	0.0106989	0.00471604	0.00193285	0	0.00248619	0	0	0.00789963	0.00385354	0.00624823	0	0	0	0.00887531	0	0	0	0	0	0.00175347	0.00338513	0	0.000371166	0	0	0	0	0.026951	0.00317048	0.0023108	0.00745418	0	0	0.00500982	0	0.00359211	0	0.025262	0	0.000692444	0	0.00239948	0.00360778	0	0	0	0	0	0	0.00578444	0.00474131	0	0.00542963	0.00252793	0.00443968	0	0.00613675	0.0372884	0.00896264	0	0	0.00289678	0	0.00251549	0.00450912	0.00273962	0	0.00915222	0	0.00591462	0.00263456	0.0022435	0	0	0	0.0127518	0.00375459	0.0105324	0	0	0	0	0	0	0	0.0091892	0.00675778	0	0.00158619	0.000723539	0.00333745	0.0204545	0.00779277	0.0119161	0.00655524	0.00112396	0	0	0	0	0	0	0	0.00868315	0.00424393	0	0	0.0110552	0.00646284	0	0	0
UNINTEGRATED|g__Acutalibacter.s__Acutalibacter_muris	0.0023179	0.00808885	0.00262798	0.00548732	0.00392912	0.00313185	0.0133785	0.014166	0.000837104	0.00477284	0.00467595	0.00526234	0.0454149	0.00158712	0.0245014	0.00389606	0.00744141	0.00779078	0.0105033	0.0107966	0.00727654	0.00313968	0	0.0185767	0.00851271	0	0	0.00458239	0.00324729	0.00829622	0.00981753	0.00826935	0.00452233	0.0216501	0	0.00433058	0.00848797	0.00178459	0.0042203	0.0263917	0.0296904	0.0294489	0.03171	0	0.00720943	0.00182992	0.0049817	0.0198825	0.00302343	0.00744201	0.00778749	0.0252186	0.00402486	0.0120221	0.00216796	0	0	0.00138007	0.00118086	0.00254314	0.0068556	0.007511	0.000863778	0	0.0131425	0	0.00463539	0	0.00464699	0.00630705	0.00454104	0	0.00931092	0	0.00631944	0.0100806	0	0	0.0097866	0	0	0.0017275	0	0	0	0.0155701	0.00460928	0.0175024	0.00738274	0.0208798	0.0396947	0	0.0200971	0.00521633	0	0.0402084	0.0128123	0.00264978	0.00233828	0.00375331	0.00626422	0	0.00874106	0.00140507	0.00233192	0	0.0201631	0.0110023	0.020621	0.00295105	0	0.00435733	0	0	0	0.00320217	0.0007872	0.00416071	0.000884132	0	0.0110826	0.0022533	0	0.0199042	0.00120006	0.00633753	0.00900025	0.00113385	0.00107596	0	0.00591185	0.0153412	0.000995151	0.00614647	0.00435153	0.0120754	0	0.0352085	0	0.0174895	0	0.00373886	0	0	0	0.00358731	0	0.0162475	0.00539391	0	0.00397488	0.0158663	0.0192821	0	0.020904	0.0123782	0.0119158	0	0	0.0420622	0	0.0143893	0.010467	0.00349357	0	0	0	0.00531843	0.0148244	0.00221471	0.0020454	0	0	0.00139615	0.00392183	0	0.00566402	0.00632123	0	0.00360424	0	0	0.018482	0.0195917	0	0.0140317	0	0	0.0131774	0.00870814	0.00487592	0.00425808	0.0107303	0.00231667	0	0	0.00235717	0.00151302	0.0193574	0	0	0.00156019	0.00304666	0	0.00133948	0.0121899	0.00751801	0	0.00573391	0.00347232
UNINTEGRATED|g__Aerococcus.s__Aerococcus_urinaeequi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118899	0	0	0	0
UNINTEGRATED|g__Aerococcus.s__Aerococcus_viridans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000704284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000332622	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0.000683685	0.000511824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105703	0	0	0	0	0	0	0	0	0	0.0262346	0	0	0	0	0	0	0	0	0	0	0	0.0297203	0.00685178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0946344	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	0.00188166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00167128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00274388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00151746	0	0	0	0	0	0.00109356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000846995	0	0	0	0	0	0.000611442	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0.00541541	0	0	0.0020558	0	0	0	0	0	0	0.00292825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00627435	0	0	0	0	0	0.00451877	0.00360362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00325933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0077809	0	0	0	0	0	0	0.00727364	0	0	0.00415069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00704421	0	0	0	0	0	0	0.00743758	0	0	0	0	0.00597519	0	0	0.00680623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222361	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00420747	0	0	0	0	0	0	0	0	0	0	0	0.00858134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00597065	0	0	0.00590702	0	0.00645487	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00589578	0	0	0	0	0	0	0	0	0	0	0	0.00482457	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	0.00840691	0.00695297	0.00547488	0.00839404	0.00535708	0.00743048	0.00506028	0.00477148	0	0.00828952	0.0102427	0.00864034	0	0	0.00623133	0.00444649	0.00838596	0.00862855	0.00664537	0.00437005	0.00357338	0.00944249	0.00508531	0	0.00772225	0	0	0.00960839	0	0	0.004356	0.0113619	0	0	0.00934376	0.0121189	0.00975955	0.0132121	0.00866212	0	0	0	0	0.00631553	0.00596038	0.0057733	0	0.0105356	0.0063237	0.0124843	0.0104215	0	0.0070074	0.0080794	0	0.0093003	0.0106209	0.00525942	0.00455547	0.00478273	0.0065172	0.00736703	0.00497967	0	0.00853914	0.00873919	0	0.00664311	0	0	0.00683012	0	0	0.010507	0.00752097	0.00841731	0	0.00719313	0.00868214	0	0	0	0.00727155	0.0158197	0.00674462	0.00816324	0	0	0.00778108	0.0101155	0.0049102	0	0.00861892	0.00689455	0.00895543	0.00717115	0	0.00811699	0.00886675	0.00442552	0.00693673	0	0.00673642	0	0.0130854	0.00659098	0.00873687	0.00610181	0.0101624	0.00542646	0	0.00879671	0	0	0	0.00861094	0.0113635	0.00855088	0.00363183	0	0	0.00439859	0	0	0.00788878	0	0.0093238	0.0077108	0.00511771	0	0.0099127	0.00824468	0.00899845	0	0.00574318	0.00626884	0	0.010094	0	0.00765842	0	0.00693874	0.00650618	0	0	0.00794898	0.0106208	0.00569565	0	0.00965761	0.00657254	0.00908367	0.00796708	0.0101858	0.00894202	0.00988926	0.0119675	0	0.00902481	0	0.00704425	0.0106296	0.00754697	0.004279	0.00799871	0.00646404	0	0.00818828	0.00754386	0.00800389	0.00537637	0	0	0.0103552	0.00617608	0	0.0105863	0	0.0266055	0	0	0	0	0.00697564	0.00616232	0.00657552	0	0.00780654	0.00637771	0	0.00422909	0	0	0.00564283	0.00923401	0.00727416	0	0.0122257	0.00606534	0.0117976	0	0.00544736	0	0.0124309	0.00508704	0.00762539	0	0.0120691	0.00983089	0.0165524
