SampleID	Batch_MG	Batch_MT	Batch_mRNA	Strain	Age	Age_group	Diet	Sex	GxD	Body_weight	QuadricepsWeight	SoleusWeight	Class	AgeC	HDL	LDL	TotalChol	ALT	ASAT	ALToverASAT	Creatinine	CreatineKinase	Glucose	LDH	Triglycerides	Bilirubin	FFA	BileAcids	Lactate	Protein	ALPL	Iron	Amylase	TIMEonDIET	Diet_StartYear	Diet_StartMonth	SampleID2	SacDate	SacDate_Year	SacDate_Month	DateOfBirth	DateOfDeath
C001		batch2	batch2	BXD63	752	AG4	HF	F	BXD63_HF	58.93	0.1329	0.0163	HF_O	Old																				628	2015	2	C_001	26/10/2016	2016	10	05.10.14	26.10.16
C007	batch2			BXD69	210	AG1	HF	F	BXD69_HF	42.33	0.16	0.01	HF_Y	Young	3.52	0.15	3.3	85	150	0.57	17	187	20.5	443	0.21	0	0.98	3	2.9	48.5	107	16.7	1106	69	2013	8	C_007	16/10/2013	2013	10	20.03.13	16.10.13
C008	batch1	batch1	batch1	BXD32	200	AG1	CD	F	BXD32_CD	25.5	0.1423	0.0119	CD_Y	Young	0.39	0.44	1.2	225	536	0.42	1	3894	17	1387	0.59	0	0.18	33	20.1	53	87	40.1	808	73	2015	2	C_008	20/04/2015	2015	4	02.10.14	20.04.15
C009	batch1	batch1	batch1	BXD32	200	AG1	HF	F	BXD32_HF	30.9	0.1572	0.0107	HF_Y	Young	2.56	0.26	2.4	997	1620	0.62	2	5334	9.9	2722	0.36	0	0.47	10.1	16.5	49.7	85	36.1	983	73	2015	2	C_009	20/04/2015	2015	4	02.10.14	20.04.15
C010		batch2	batch2	C57BL/6J	213	AG1	HF	M	C57BL/6J_HF	44.3	0.2233	0.022	HF_Y	Young	4.12	0.33	4.9	57	61	0.93	19	353	13.7	583	0.64	0	0	0.65	0	0.2	49.8	34	25.8	73	2015	2	C_010	20/04/2015	2015	4	19.09.14	20.04.15
C011		batch2	batch2	BXD61	754	AG4	HF	F	BXD61_HF	60.13	0.1177	0.009	HF_O	Old																				628	2015	2	C_011	26/10/2016	2016	10	03.10.14	26.10.16
C012	batch2			BXD90	732	AG4	CD	F	BXD90_CD	23.02	0.091	0.009	CD_O	Old	1.78	0.24	2.1	504	620	0.81	7	2239	9	1696	1.11	0	0.8	15.1	13.7	48.6	732	25.6	1076	540	2013	8	C_012	30/01/2015	2015	1	28.01.13	30.01.15
C014		batch1	batch2	C57BL/6J	734	AG4	HF	F	C57BL/6J_HF	39.05	0.065	0.0137	HF_O	Old																				594	2015	2	C_014	22/09/2016	2016	9	19.09.14	22.09.16
C015	batch1	batch1	batch2	BXD65b	748	AG4	CD	F	BXD65b_CD	18.21	0.0615	0.0076	CD_O	Old																				628	2015	2	C_015	26/10/2016	2016	10	09.10.14	26.10.16
C016	batch1	batch1	batch1	C57BL/6J	207	AG1	HF	F	C57BL/6J_HF	31.83	0.165	0.009	HF_Y	Young	2.4	0.35	3.1	222	401	0.55	21	2521	20.1	604	0.32	0.3	0.88	23.3	10.9	56	79	30.9	1846	70	2013	8	C_016	17/10/2013	2013	10	24.03.13	17.10.13
C017	batch2			BXD34	748	AG4	CD	F	BXD34_CD	25.97	0.104	0.006	CD_O	Old	1.35	0.35	1.6	45	107	0.42	0	90	7.4	260	0.07	0.3	0.26	4.1	11.7	40.4	235	36.9	915	610	2012	2	C_017	15/10/2013	2013	10	28.09.11	15.10.13
C018		batch1	batch2	BXD73	759	AG4	CD	F	BXD73_CD	17.14	0.0842	0.0109	CD_O	Old																				680	2014	10	C_018	1/9/16	2016	9	04.08.14	01.09.16
C019		batch2	batch2	C57BL/6J	182	AG1	HF	F	C57BL/6J_HF	31.34	0.162	0.017	HF_Y	Young	0.22	1.91	2.6	366	1347	0.27	19	5349	11.6	4804	1.63	8.9	8.9	2.95	798.3	7.6	52.4	0	25.9	134	2014	6	C_019	24/10/2014	2014	10	25.04.14	24.10.14
C020	batch1	batch1	batch2	BXD32	742	AG4	CD	F	BXD32_CD	22.3	0.0982		CD_O	Old	1.59	0.31	2.2	42	175	0.24	0	437	11.1	956	0.77	0	0.73	16.7	7.4	40	113	19.2	772	364	2012	2	C_020	11/2/13	2013	2	31.01.11	11.02.13
C021		batch2	batch2	BXD69	210	AG1	HF	F	BXD69_HF	42.13	0.149	0.007	HF_Y	Young	2.33	0.18	2.4	125	430	0.29	7	1089	12.7	1317	0.3	0	0	0.42	14.4	8	46.4	95	24.9	69	2013	8	C_021	16/10/2013	2013	10	20.03.13	16.10.13
C022		batch1	batch2	BXD34	201	AG1	HF	F	BXD34_HF	35.42	0.146	0.007	HF_Y	Young	2.6	0.14	2.3	205	583	0.35	4	2379	10.7	1102	0.03	0	0	0.49	16.9	6.7	44.5	55	21.6	69	2013	8	C_022	16/10/2013	2013	10	29.03.13	16.10.13
C023	batch1	batch1	batch1	DBA/2J	709	AG4	HF	F	DBA2J_HF	26.9		0.021	HF_O	Old	1.8	0.46	1.9	69	148	0.47	0	714	4.8	826	0.37	3.3	0.48	7.6	15.1	47.8	227	38.5	914	535	2012	7	C_023	6/1/14	2014	1	28.01.12	06.01.14
C024		batch2	batch2	DBA/2J	212	AG1	HF	F	DBA/2J_HF	38.91	0.166	0.008	HF_Y	Young	0.23	0.05	0.3	90	1320	0.07	0	2568	3.9	2064	0.89	17.2	17.2	0	6.2	7.5	27.6	0	28	70	2013	8	C_024	17/10/2013	2013	10	19.03.13	17.10.13
C025	batch1	batch2	batch2	BXD69	785	AG4	CD	F	BXD69_CD	22.27	0.1158	0.0116	CD_O	Old																				680	2014	10	C_025	1/9/16	2016	9	09.07.14	01.09.16
C025_n	batch2			BXD69	785	AG4	CD	F	BXD69_CD	22.27	0.1158	0.0116	CD_O	Old																				680	2014	10	C_025	1/9/16	2016	9	09.07.14	01.09.16
C025_r	batch2			BXD69	785	AG4	CD	F	BXD69_CD	22.27	0.1158	0.0116	CD_O	Old																				680	2014	10	C_025	1/9/16	2016	9	09.07.14	01.09.16
C026	batch1	batch2	batch2	D2B6F1	210	AG1	CD	F	D2B6F1_CD	37.96	0.182	0.01	CD_Y	Young	0.57	0.28	0.9	531	1214	0.44	5	3409	9	1706	0.62	0	0.44	2	10.1	36	42	21.2	6042	70	2013	8	C_026	17/10/2013	2013	10	21.03.13	17.10.13
C027	batch1	batch2	batch2	BXD90	723	AG4	HF	F	BXD90_HF	38.9	0.0979	0.0117	HF_O	Old	2.21	0.51	2.5	57	84	0.68	20	110	14.8	453	0.1	0	0.28	1.6	13.9	53.9	507	23.6	1341	494	2013	8	C_027	15/12/2014	2014	12	22.12.12	15.12.14
C028	batch1	batch1	batch2	BXD65b	174	AG1	CD	F	BXD65b_CD	24.14	0.1496		CD_Y	Young	3.74	0.28	3.9	390	689	0.57	10	2011	16.6	2857	0.03	0.1	0.24	16.1	4.6	45.3	30	28.1	835	91	2014	7	C_028	24/10/2014	2014	10	03.05.14	24.10.14
C029	batch1	batch1	batch2	C57BL/6J	760	AG4	HF	M	C57BL/6J_HF	54.75	0.1618	0.0211	HF_O	Old	3.32	0.92	4.9	165	256	0.64	19	263	9.5	1501	0.47	0	0.1	66.7	9.2	74.1	42	31.1	1864	627	2013	8	C_029	27/04/2015	2015	4	28.03.13	27.04.15
C030	batch1	batch2	batch2	C57BL/6J	734	AG4	CD	F	C57BL/6J_CD	28.68	0.0875	0.0083	CD_O	Old	0.89	0.08	0.9	131	518	0.25	5	5701	1.3	1582	0.45	0	0.48	25.5	8.6	42.3	78	19.8	1258	335	2012	7	C_030	20/06/2013	2013	6	17.06.11	20.06.13
C030_r	batch2			C57BL/6J	734	AG4	CD	F	C57BL/6J_CD	28.68	0.0875	0.0083	CD_O	Old	0.89	0.08	0.9	131	518	0.25	5	5701	1.3	1582	0.45	0	0.48	25.5	8.6	42.3	78	19.8	1258	335	2012	7	C_030	20/06/2013	2013	6	17.06.11	20.06.13
C031	batch1	batch1	batch2	BXD63	218	AG1	CD	F	BXD63_CD	28.1		0.014	CD_Y	Young	1.26	0.08	1.3	122	697	0.18	13	4153	12.8	1455	0.36	0	0.36	4.3	8.1	30.8	65	18.6	624	46	2012	7	C_031	4/9/12	2012	9	30.01.12	04.09.12
