Pathway	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
UNMAPPED	0.407844	0.630193	0.540188	0.527614	0.476095	0.50745	0.620228	0.477913	0.624796	0.551695	0.649811	0.574108	0.570022	0.377913	0.461426	0.496212	0.554686	0.444182	0.553146	0.657417	0.505412	0.627058	0.430209	0.483611	0.506589	0.611337	0.559365	0.440169	0.33639	0.533909	0.546994	0.506201	0.371559	0.570158	0.48567	0.428994	0.555437	0.511918	0.365577	0.521367	0.520086	0.585867	0.542903	0.571364	0.65279	0.650732	0.452619	0.448641	0.441388	0.484464	0.499563	0.494295	0.689472	0.615094	0.49556	0.524789	0.397054	0.351428	0.606863	0.510835	0.57423	0.494422	0.38469	0.495371	0.562334	0.613874	0.488281	0.531704	0.455982	0.434698	0.553868	0.425513	0.641635	0.487058	0.652298	0.586966	0.608682	0.349954	0.471571
UNINTEGRATED	0.552097	0.345021	0.424322	0.437509	0.487594	0.46784	0.34961	0.48446	0.343807	0.413776	0.329466	0.393998	0.401156	0.580897	0.504775	0.45659	0.409195	0.520996	0.412935	0.319183	0.457462	0.341589	0.531895	0.475901	0.450513	0.3577	0.409726	0.515364	0.615027	0.423193	0.417485	0.456481	0.590932	0.392659	0.481975	0.535797	0.412264	0.457621	0.598149	0.442733	0.443965	0.385002	0.425092	0.399965	0.324673	0.32756	0.504932	0.518392	0.505546	0.476597	0.466569	0.463045	0.290367	0.358118	0.467719	0.445956	0.559142	0.59787	0.367675	0.44943	0.391469	0.47238	0.56544	0.468052	0.408185	0.359277	0.474718	0.434207	0.511244	0.530137	0.407044	0.540379	0.332674	0.46978	0.322414	0.382622	0.365931	0.61105	0.492989
UNINTEGRATED|g__Acetatifactor.s__Acetatifactor_muris	0	0	0	0	0	0	0.00420504	0	0	0	0.00953693	0	0	0	0	0.00627293	0.0023247	0.00524911	0.00417166	0	0.00368467	0.00823719	0	0.00762123	0.00509139	0.00399687	0	0.00303181	0	0	0	0	0	0.00626853	0	0	0	0	0	0.00404761	0	0.0123137	0	0.0197266	0.0251294	0.00458691	0	0	0.00960611	0.00525526	0	0	0	0	0	0	0	0	0	0.0157305	0.026789	0.012704	0	0	0.00882068	0	0.00533237	0	0	0	0.0018858	0	0	0	0.0132932	0.00473561	0.0139666	0	0
UNINTEGRATED|g__Acutalibacter.s__Acutalibacter_muris	0	0.00387808	0	0.00142257	0	0	0.00271732	0.00172911	0.00512303	0.000566453	0.00587693	0	0.00161085	0	0	0	0.0217932	0.00132343	0.0146918	0	0.0051553	0.0050731	0	0.00352058	0.000684682	0.00897191	0.0010167	0	0	0.00735511	0.00568928	0.00140073	0	0	0	0	0.00488975	0	0	0.00114856	0.00858484	0.0111844	0.00146002	0	0.0157635	0.00141012	0	0	0	0	0.00156776	0.0108233	0.00759524	0.0256411	0.00277276	0.0011579	0.00211367	0	0.00595826	0	0	0.00203649	0.0103712	0.00252933	0	0.00175581	0.0059946	0.0159805	0.000696465	0.00297871	0.00767175	0.00109178	0.00122801	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0.0629492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00203898	0	0	0	0	0	0	0	0	0	0.0036065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00695431	0	0	0	0	0	0	0	0	0	0	0	0	0.0032633	0.00702447
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_caccae	0	0	0	0	0	0.00210813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0.00515354	0	0	0	0	0	0	0	0	0.00447615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00270854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00583932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	0	0.00302117	0.00159761	0.0037173	0.00418723	0	0.00123842	0.00252884	0.00131289	0.0014642	0	0.0050828	0	0	0.00222562	0.00422045	0.0016029	0	0.00298242	0	0.00667613	0.00144975	0	0.00114333	0	0.00265999	0.00253394	0.00125985	0	0	0.00479732	0.00460669	0	0	0.00524045	0	0	0.00446905	0.00926113	0	0	0	0.00444404	0.00501434	0.00271677	0	0.00166633	0.00531339	0	0.0018808	0.00116999	0	0.00260218	0.00289419	0.00699056	0.00418239	0.00223446	0	0.00283446	0.00326144	0	0	0.00697496	0.00227336	0.0111022	0.0041342	0.00305661	0	0.00162805	0.00430461	0.00460035	0.00267716	0.00344506	0.00153009	0	0	0.00510698	0.00337207	0.00106544
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caecimuris	0.00754101	0.00545033	0	0.00805837	0.0107371	0.0295368	0	0.00372287	0	0.00519897	0	0.0185485	0.0247292	0.0191339	0.0324748	0	0.00192547	0.0234795	0.0158452	0	0.00599059	0	0.00665232	0.000486857	0	0.00126948	0	0.00337922	0.00841401	0.00291717	0.00206914	0.00435273	0.0751253	0.0017521	0.00987548	0.015812	0.00119597	0	0.0106682	0.00126791	0.00565501	0.00581514	0.00442916	0.00231905	0	0.000831117	0.00349909	0.0226374	0	0	0.0135398	0	0.00216441	0.0114298	0.0255569	0.0107683	0.00934044	0.0155938	0.000543002	0.00573719	0.00548053	0	0.00399258	0.00866819	0	0	0.00120658	0.00248805	0.0114921	0.00840058	0.00330745	0.0127398	0.00223051	0.00408463	0	0	0	0.0718592	0.0221499
UNINTEGRATED|g__Bacteroides.s__Bacteroides_sartorii	0.0803369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0240611	0	0	0	0	0	0	0	0.0265127	0.0249091	0	0	0	0	0	0	0	0	0	0.0210403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215761	0	0	0	0	0	0	0	0	0.00366446	0.0031086	0	0	0	0	0
