taxonomy	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Firmicutes	52.76438	80.90782	66.06495	63.93981	63.35926	50.20045	75.20182	79.46308	75.09812	73.98152	76.48518	71.13915	58.5704	45.49364	54.42918	77.57278	79.07556	57.12666	51.85637	57.07926	63.04915	77.82571	76.48307	78.92883	79.19119	74.04085	73.48296	78.79117	66.77076	78.50702	82.57075	80.59658	71.91796	79.33853	59.59321	76.21844	70.79881	83.46372	73.59682	77.4402	78.43766	73.7436	61.58344	79.95747	55.79803	61.30041	63.25342	76.24759	90.88528	73.42221	59.20915	66.65447	60.76685	68.96419	59.88358	49.75524	68.4111	48.35528	68.40349	63.34402	85.16197	77.0339	80.82415	75.4592	69.68355	63.02677	86.86277	82.2629	75.56207	77.96341	68.40337	78.67242	54.29768	65.51953	71.20825	72.09488	78.53325	73.35365	81.44821
k__Bacteria|p__Bacteroidetes	23.61067	6.31832	6.77082	22.2057	23.83773	28.95504	6.75345	3.82512	6.64912	7.29761	5.92661	16.45441	24.86602	34.43362	21.53561	0.88965	4.53949	23.80476	22.73295	26.78852	21.28819	7.04158	6.76258	8.25161	4.54075	8.28306	15.09966	8.54786	13.29624	2.56916	1.72731	5.82752	16.41804	5.11868	13.38754	10.17771	10.96212	3.72667	14.65441	7.55086	2.38667	7.81097	19.42098	4.90912	23.11995	19.99244	15.44723	12.66819	1.08124	6.54969	17.19505	12.33491	14.92689	11.82307	24.16273	30.68056	11.54009	8.82662	11.26319	12.38401	1.72924	15.37689	8.83354	12.41602	15.13363	27.50531	1.51224	4.17597	13.11925	10.29118	9.41815	9.4138	15.16111	9.72152	6.63921	9.11465	11.54593	18.1563	6.50244
k__Bacteria|p__Proteobacteria	10.12321	1.2333	4.38242	1.80843	4.7145	3.65314	2.23625	1.51208	0.79253	2.58024	0.88958	2.39812	1.75181	7.37194	3.18292	0.6821	2.34084	1.99115	3.89434	6.22546	1.96783	4.30561	6.39247	1.19438	1.00052	2.19319	3.3452	7.83117	4.31456	0.65679	0.95577	1.90171	0	1.62879	2.56248	3.01238	7.14811	6.8897	5.01266	3.39436	0.87407	2.49732	3.15937	1.79723	6.32771	5.07457	18.70288	1.41921	4.2454	3.35513	2.06014	1.77256	3.18347	3.20537	2.81937	2.015	1.21563	23.67073	3.02911	9.33078	1.23787	1.96113	2.7594	5.53505	0.51759	3.84002	2.32124	2.65591	1.44202	2.38668	2.24209	1.84387	19.83571	17.75359	4.14102	3.64263	4.35681	0.92912	2.97917
k__Bacteria|p__Deferribacteres	7.89477	0	0	0	4.43859	0	0	0	1.5314	0	0	0	0	2.85902	4.42737	0.28165	1.39655	0.03012	0	0	0	0	5.96437	0.89006	1.93726	1.25151	0	0	7.77745	1.01773	0	0	0	1.25916	4.74552	4.15455	0	0	2.19706	0	2.21478	2.94931	0	2.29602	0	0.54322	0	6.79254	0	1.82696	0	0	0	3.18943	6.25499	0	5.58357	13.13992	2.10534	1.17567	0.7199	0	0.70127	1.08884	0	0	1.05119	0.90898	0	3.1938	0	5.47572	0	0	1.02722	1.05013	0	0	0
k__Bacteria|p__Bacteria_unclassified	5.60697	10.55507	22.75965	11.22292	3.61614	2.13668	13.94148	13.20217	14.31865	16.014	16.39444	9.96168	14.77868	9.83804	16.37123	18.44668	10.03326	17.00928	21.32373	9.90676	7.75592	9.12096	3.70431	10.71929	13.04159	14.11706	4.5769	4.80112	7.66368	13.61753	13.38109	5.04197	11.63203	11.72865	18.37253	6.2973	9.3351	5.8718	3.79118	10.84922	12.25638	8.93596	5.72485	11.00579	9.05995	12.87488	2.58527	2.12937	3.59093	14.4753	21.43099	18.99913	5.58373	10.4224	3.83246	7.77776	13.06519	5.75375	12.75717	4.22787	10.91537	5.545	6.5908	5.12617	3.28005	4.87282	7.8209	9.57207	9.80577	5.70691	18.80487	4.52791	7.81717	3.61155	15.59235	13.65889	5.5433	6.76891	7.84746
k__Bacteria|p__Firmicutes|c__Clostridia	41.35027	39.30592	49.29172	35.72028	41.30582	15.94733	26.71553	53.59105	42.38339	38.11986	24.00153	49.17194	48.1632	38.34151	34.66773	37.68088	24.26266	38.95851	25.83532	34.46218	29.52138	23.69746	58.76606	33.18067	44.28919	34.81318	50.79147	61.72135	52.49141	29.46791	33.23668	60.79425	40.12373	26.8054	36.25939	54.31347	33.73673	58.83272	56.90339	26.16395	23.22687	34.69475	35.62786	33.0049	22.18947	38.13786	43.48844	53.68389	70.64963	36.48284	34.46495	20.81057	24.25821	31.8859	34.03212	36.53338	19.1383	34.128	15.99723	38.03265	49.47532	58.7915	44.13158	44.45135	44.79597	35.45743	48.14422	39.22103	61.34548	47.58665	25.2615	60.12681	32.03763	33.39023	25.78974	27.58076	44.05867	58.65503	74.16645
k__Bacteria|p__Bacteroidetes|c__CFGB76719	10.18042	0.69858	3.73642	0.01261	4.24471	4.17418	0.48148	0	0.21814	0	0.47233	5.15439	0	0	0	0.07014	0	6.72733	0.68131	0	1.47033	0.99333	2.73361	0.69385	0.90643	0.66939	0	4.63955	2.0064	0	0.44626	0	0	1.22438	0	0	0.48249	0	6.88816	2.08298	0	0	2.63963	1.51398	2.78273	2.42128	8.90046	6.0995	0	3.14367	0	0.00122	0.07792	0	7.53469	5.13935	0.17171	1.10381	0.51676	4.58865	0.43537	9.71012	2.66576	0.06339	0	0	0.4617	0.70063	2.03292	0	0	0.60009	3.7387	1.68937	0.91005	2.13322	7.29787	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	9.02789	4.9701	2.65936	20.48077	16.62127	22.23323	5.33164	3.24591	5.88386	5.07932	4.86363	10.11819	24.49446	33.08117	20.511	0.59217	3.77801	14.67507	20.02049	26.20251	16.98117	4.92778	2.14584	6.6272	2.68954	6.21077	14.32969	2.22979	11.25897	2.27195	1.0292	4.86929	15.40006	2.71724	12.86638	9.44282	9.66904	2.48166	7.71779	4.09254	2.1302	6.81827	15.18313	2.26178	17.66222	12.41959	2.57472	6.41721	0.40347	1.87747	15.33802	10.84871	12.68336	10.3237	16.25859	23.80297	11.1677	5.8889	10.60381	6.67773	0.85169	5.06107	5.75365	10.89603	15.08402	25.63424	0.88223	2.82129	10.59775	8.3439	8.23568	8.066	8.44404	5.34856	4.89266	5.56502	2.99544	17.33779	5.16621
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	8.26872	0	0	0	0.72634	0.02831	0.59678	0	0	0	0	0	0	5.26442	0.04051	0.12843	0	0	0	4.1984	0.00385	3.33433	0.02182	0.85116	0.40158	0	0	6.6951	3.75669	0	0	0	0	0.72827	0	1.80579	5.73354	3.84667	4.18075	2.11297	0	0	0	1.06896	0	0.76708	17.23627	0.00068	3.92919	2.78214	0	0	0	0	0	0	0	12.06848	0	5.82193	0.43698	0	1.77087	3.00625	0	0	2.08396	0.94332	0	0	0	0	14.40091	15.37932	1.57596	1.80518	0	0	0
